,t_nh1_NH_yr,t_nh2_NH_yr,t_nh3_NH_yr,t_nh1_SH_yr,t_nh2_SH_yr,t_nh3_SH_yr,t_nh1_DIFF_yr,t_nh2_DIFF_yr,t_nh3_DIFF_yr,t_sh1_NH_yr,t_sh2_NH_yr,t_sh3_NH_yr,t_sh1_SH_yr,t_sh2_SH_yr,t_sh3_SH_yr,t_sh1_DIFF_yr,t_sh2_DIFF_yr,t_sh3_DIFF_yr
0,285.3554,285.22803,285.4583,285.4241,285.45938,285.63812,-0.06866455,-0.2313919,-0.17983754,286.6127,286.36877,286.53195,285.0337,285.09326,285.03412,1.5789871,1.2754999,1.497851
1,285.00064,285.0129,284.90085,285.43652,285.67877,285.63687,-0.43591055,-0.6658681,-0.73604584,286.31146,286.1463,286.34372,284.43155,284.57034,284.52164,1.8799082,1.5759354,1.8220698
2,284.59595,284.40787,284.63242,285.54074,285.4504,285.57516,-0.9448115,-1.0425339,-0.9427363,285.7615,285.82587,286.12363,284.10916,284.20422,284.33133,1.6523691,1.6216888,1.792305
3,284.08432,283.98575,284.13004,285.20773,285.23703,285.37546,-1.1234308,-1.2512869,-1.2454706,285.64047,285.76337,285.91763,284.00735,284.2057,284.18784,1.6330973,1.5576807,1.7297796
4,283.87485,283.76462,283.81448,285.0123,285.25565,285.09717,-1.1374029,-1.4910101,-1.2826563,285.6395,285.8185,285.94086,284.01163,283.86423,284.04083,1.6278712,1.9543203,1.8999761
5,284.75696,284.79904,284.94998,284.56912,284.78268,284.77075,0.18779247,0.016357422,0.17919667,284.70993,284.47256,284.5537,284.45972,284.42404,284.34195,0.25019327,0.048553467,0.21171062
6,285.07254,284.84583,285.0338,284.23444,284.37778,284.2302,0.83807117,0.46805826,0.8036423,284.24615,284.16666,284.42392,284.73032,284.86316,284.7181,-0.48412323,-0.6965129,-0.29415894
7,285.22073,284.80197,285.06888,284.322,284.09692,284.0961,0.89875793,0.70506793,0.97279614,283.9712,284.05215,284.3779,284.8502,285.01257,284.86618,-0.87900543,-0.960439,-0.4882914
8,285.14032,285.08713,285.1721,284.04648,284.11905,284.00488,1.093839,0.9680812,1.1672236,283.8185,283.67993,284.1315,284.9171,284.77536,284.9977,-1.0985667,-1.0954157,-0.8661728
9,285.0621,285.0287,285.02353,283.96692,283.99487,283.86798,1.0952097,1.0337499,1.1555303,283.53256,283.568,283.7016,284.8727,284.6926,284.82352,-1.3401794,-1.1246237,-1.1219
